ID,TYPE
2571742,CRITICAL ACCESS
4100000,GENERAL ACUTE CARE
6171701,GENERAL ACUTE CARE
572601,GENERAL ACUTE CARE
1672560,CRITICAL ACCESS
2372454,CRITICAL ACCESS
1372543,CRITICAL ACCESS
2472110,CRITICAL ACCESS
3072205,GENERAL ACUTE CARE
5000000,GENERAL ACUTE CARE
6972113,PSYCHIATRIC
1971901,GENERAL ACUTE CARE
4671901,REHABILITATION
5971913,GENERAL ACUTE CARE
6600000,GENERAL ACUTE CARE
3971603,GENERAL ACUTE CARE
6871603,GENERAL ACUTE CARE
2772703,REHABILITATION
331404,GENERAL ACUTE CARE
9372703,PSYCHIATRIC
9672762,WOMEN
9454915,GENERAL ACUTE CARE
3271953,GENERAL ACUTE CARE
4972927,CRITICAL ACCESS
5172855,CRITICAL ACCESS
62572396,GENERAL ACUTE CARE
64072205,REHABILITATION
8053211,REHABILITATION
14385622,GENERAL ACUTE CARE
62472160,GENERAL ACUTE CARE
1042539,CRITICAL ACCESS
5240336,CRITICAL ACCESS
3641653,GENERAL ACUTE CARE
7140207,WOMEN
9440215,GENERAL ACUTE CARE
10640207,PSYCHIATRIC
240031,GENERAL ACUTE CARE
4648624,CRITICAL ACCESS
7349868,CRITICAL ACCESS
1549862,CRITICAL ACCESS
5848843,GENERAL ACUTE CARE
1649242,GENERAL ACUTE CARE
10048071,GENERAL ACUTE CARE
3049098,GENERAL ACUTE CARE
5648858,GENERAL ACUTE CARE
7949431,GENERAL ACUTE CARE
14049079,GENERAL ACUTE CARE
13248427,GENERAL ACUTE CARE
14948202,GENERAL ACUTE CARE
4256007,GENERAL ACUTE CARE
14155009,CRITICAL ACCESS
5056031,GENERAL ACUTE CARE
10856087,CRITICAL ACCESS
8665201,GENERAL ACUTE CARE
5158554,LONG TERM CARE
2458533,CRITICAL ACCESS
1446011,GENERAL ACUTE CARE
9446601,GENERAL ACUTE CARE
389128,LONG TERM CARE
489119,GENERAL ACUTE CARE
12119124,GENERAL ACUTE CARE
13619107,GENERAL ACUTE CARE
20819104,GENERAL ACUTE CARE
21419130,GENERAL ACUTE CARE
25019104,MILITARY
6017822,GENERAL ACUTE CARE
182330115,GENERAL ACUTE CARE
185631620,GENERAL ACUTE CARE
5759501,GENERAL ACUTE CARE
6929425,GENERAL ACUTE CARE
189830346,PSYCHIATRIC
522835,CRITICAL ACCESS
14244266,GENERAL ACUTE CARE
6878746,CHILDREN
19676104,CHILDREN
898356,CRITICAL ACCESS
194246032,SPECIAL
13753045,GENERAL ACUTE CARE
6753132,GENERAL ACUTE CARE
8153210,GENERAL ACUTE CARE
6354476,GENERAL ACUTE CARE
7853215,GENERAL ACUTE CARE
9254501,GENERAL ACUTE CARE
17545409,GENERAL ACUTE CARE
10354481,GENERAL ACUTE CARE
15454495,GENERAL ACUTE CARE
5754401,GENERAL ACUTE CARE
13253121,GENERAL ACUTE CARE
13653027,GENERAL ACUTE CARE
5153142,GENERAL ACUTE CARE
6154241,GENERAL ACUTE CARE
188346176,GENERAL ACUTE CARE
35579408,CHILDREN
183446992,GENERAL ACUTE CARE
187746307,PSYCHIATRIC
194147586,GENERAL ACUTE CARE
14044481,GENERAL ACUTE CARE
2944482,GENERAL ACUTE CARE
3397031,CRITICAL ACCESS
9360901,GENERAL ACUTE CARE
497845,CRITICAL ACCESS
2912601,GENERAL ACUTE CARE
3214215,GENERAL ACUTE CARE
5514607,GENERAL ACUTE CARE
6411030,GENERAL ACUTE CARE
9344221,REHABILITATION
6511554,GENERAL ACUTE CARE
7011510,GENERAL ACUTE CARE
8313210,GENERAL ACUTE CARE
8712550,GENERAL ACUTE CARE
9310924,GENERAL ACUTE CARE
9912180,GENERAL ACUTE CARE
10713676,GENERAL ACUTE CARE
15298250,CRITICAL ACCESS
10110960,GENERAL ACUTE CARE
10912866,GENERAL ACUTE CARE
1060035,GENERAL ACUTE CARE
9960048,GENERAL ACUTE CARE
12860010,GENERAL ACUTE CARE
1961401,GENERAL ACUTE CARE
3361401,GENERAL ACUTE CARE
4960099,GENERAL ACUTE CARE
1021205,GENERAL ACUTE CARE
2321202,GENERAL ACUTE CARE
3721215,GENERAL ACUTE CARE
4121201,GENERAL ACUTE CARE
11614843,GENERAL ACUTE CARE
4821224,GENERAL ACUTE CARE
11811968,GENERAL ACUTE CARE
11911901,GENERAL ACUTE CARE
12211743,GENERAL ACUTE CARE
12311706,GENERAL ACUTE CARE
9140504,GENERAL ACUTE CARE
9540502,CHILDREN
12810901,GENERAL ACUTE CARE
13112401,GENERAL ACUTE CARE
13212428,CRITICAL ACCESS
13614513,GENERAL ACUTE CARE
14110522,GENERAL ACUTE CARE
14510591,GENERAL ACUTE CARE
11442754,GENERAL ACUTE CARE
7341101,GENERAL ACUTE CARE
14810595,CHILDREN
2962650,GENERAL ACUTE CARE
3421740,PSYCHIATRIC
2640444,GENERAL ACUTE CARE
15110532,GENERAL ACUTE CARE
15310466,GENERAL ACUTE CARE
2440601,LONG TERM CARE
15610467,GENERAL ACUTE CARE
3521742,GENERAL ACUTE CARE
16111212,GENERAL ACUTE CARE
16211201,GENERAL ACUTE CARE
16310461,GENERAL ACUTE CARE
16411203,GENERAL ACUTE CARE
16611235,GENERAL ACUTE CARE
16911209,GENERAL ACUTE CARE
15210036,GENERAL ACUTE CARE
17011215,GENERAL ACUTE CARE
17910003,GENERAL ACUTE CARE
18610032,CHILDREN
18810019,PSYCHIATRIC
19611373,GENERAL ACUTE CARE
19711414,GENERAL ACUTE CARE
14860942,CRITICAL ACCESS
4761832,GENERAL ACUTE CARE
10942101,GENERAL ACUTE CARE
20311355,GENERAL ACUTE CARE
185067037,LONG TERM CARE
114511542,GENERAL ACUTE CARE
2040484,CRITICAL ACCESS
4942078,CRITICAL ACCESS
115310802,GENERAL ACUTE CARE
115411234,GENERAL ACUTE CARE
115710605,PSYCHIATRIC
116710037,GENERAL ACUTE CARE
116810035,LONG TERM CARE
116910457,GENERAL ACUTE CARE
117114810,GENERAL ACUTE CARE
117412010,GENERAL ACUTE CARE
117712180,WOMEN
5060450,GENERAL ACUTE CARE
10961104,GENERAL ACUTE CARE
11361103,GENERAL ACUTE CARE
118212901,GENERAL ACUTE CARE
118510466,GENERAL ACUTE CARE
1920910,GENERAL ACUTE CARE
10560451,GENERAL ACUTE CARE
13360440,GENERAL ACUTE CARE
2520744,GENERAL ACUTE CARE
118710025,GENERAL ACUTE CARE
118810032,GENERAL ACUTE CARE
118910021,GENERAL ACUTE CARE
119511201,GENERAL ACUTE CARE
119614420,GENERAL ACUTE CARE
120114222,CHILDREN
120511501,GENERAL ACUTE CARE
120614701,PSYCHIATRIC
121310703,PSYCHIATRIC
10314424,MILITARY
25710536,PSYCHIATRIC
25812866,PSYCHIATRIC
5842420,GENERAL ACUTE CARE
13062864,GENERAL ACUTE CARE
1360504,GENERAL ACUTE CARE
10460134,GENERAL ACUTE CARE
8460506,GENERAL ACUTE CARE
440383,GENERAL ACUTE CARE
10610468,MILITARY
8476825,CRITICAL ACCESS
17677957,CRITICAL ACCESS
19176936,CRITICAL ACCESS
10542718,GENERAL ACUTE CARE
39179346,CRITICAL ACCESS
4521502,GENERAL ACUTE CARE
4621401,GENERAL ACUTE CARE
1261856,CRITICAL ACCESS
3561603,GENERAL ACUTE CARE
14762363,CRITICAL ACCESS
16674447,REHABILITATION
962301,GENERAL ACUTE CARE
14573102,REHABILITATION
10261603,GENERAL ACUTE CARE
1760611,REHABILITATION
1860130,PSYCHIATRIC
2560076,GENERAL ACUTE CARE
3260304,GENERAL ACUTE CARE
3460525,GENERAL ACUTE CARE
460160,GENERAL ACUTE CARE
57375494,CRITICAL ACCESS
57677995,CRITICAL ACCESS
4160644,GENERAL ACUTE CARE
4360637,GENERAL ACUTE CARE
137479007,CRITICAL ACCESS
5560613,GENERAL ACUTE CARE
6260612,GENERAL ACUTE CARE
7660616,GENERAL ACUTE CARE
8760805,GENERAL ACUTE CARE
9060657,GENERAL ACUTE CARE
9760609,GENERAL ACUTE CARE
10160453,GENERAL ACUTE CARE
10760068,GENERAL ACUTE CARE
11860005,GENERAL ACUTE CARE
11960007,GENERAL ACUTE CARE
12360611,GENERAL ACUTE CARE
12760169,GENERAL ACUTE CARE
13160615,GENERAL ACUTE CARE
8742642,GENERAL ACUTE CARE
4125801,GENERAL ACUTE CARE
8640456,GENERAL ACUTE CARE
5821921,GENERAL ACUTE CARE
140207,GENERAL ACUTE CARE
4040202,GENERAL ACUTE CARE
4440204,LONG TERM CARE
7540205,PSYCHIATRIC
11740202,GENERAL ACUTE CARE
7941240,GENERAL ACUTE CARE
825438,CRITICAL ACCESS
3625901,CRITICAL ACCESS
3226147,CRITICAL ACCESS
1825701,GENERAL ACUTE CARE
4024740,GENERAL ACUTE CARE
3725550,GENERAL ACUTE CARE
1425130,CRITICAL ACCESS
5824924,CRITICAL ACCESS
3926537,CRITICAL ACCESS
5026452,PSYCHIATRIC
188666160,SPECIAL
1726201,CRITICAL ACCESS
2325401,GENERAL ACUTE CARE
6326506,GENERAL ACUTE CARE
1026038,GENERAL ACUTE CARE
1562401,GENERAL ACUTE CARE
5641056,GENERAL ACUTE CARE
10041042,GENERAL ACUTE CARE
8140977,GENERAL ACUTE CARE
12061282,GENERAL ACUTE CARE
12261201,GENERAL ACUTE CARE
7262702,GENERAL ACUTE CARE
2140422,GENERAL ACUTE CARE
4661801,GENERAL ACUTE CARE
171954801,GENERAL ACUTE CARE
9740033,GENERAL ACUTE CARE
6342345,GENERAL ACUTE CARE
171613210,PSYCHIATRIC
742445,CRITICAL ACCESS
10442141,GENERAL ACUTE CARE
14174820,PSYCHIATRIC
10973737,CRITICAL ACCESS
1874578,GENERAL ACUTE CARE
14662644,CRITICAL ACCESS
12042240,PSYCHIATRIC
8041501,GENERAL ACUTE CARE
6973104,CHILDREN
2057567,CRITICAL ACCESS
6474501,GENERAL ACUTE CARE
3973134,SPECIAL
7961701,GENERAL ACUTE CARE
3341701,GENERAL ACUTE CARE
12341503,GENERAL ACUTE CARE
6762526,GENERAL ACUTE CARE
5660050,GENERAL ACUTE CARE
6461761,GENERAL ACUTE CARE
3874344,GENERAL ACUTE CARE
6021613,PSYCHIATRIC
6373702,GENERAL ACUTE CARE
4373521,GENERAL ACUTE CARE
11774462,CRITICAL ACCESS
6160521,GENERAL ACUTE CARE
9860126,GENERAL ACUTE CARE
11560190,GENERAL ACUTE CARE
12960139,GENERAL ACUTE CARE
9773801,GENERAL ACUTE CARE
189541018,PSYCHIATRIC
7973505,GENERAL ACUTE CARE
13873505,PSYCHIATRIC
11074030,CRITICAL ACCESS
8974074,GENERAL ACUTE CARE
1574743,GENERAL ACUTE CARE
3273069,LONG TERM CARE
1174868,GENERAL ACUTE CARE
774133,GENERAL ACUTE CARE
874104,GENERAL ACUTE CARE
2873401,GENERAL ACUTE CARE
12373438,CRITICAL ACCESS
15154904,GENERAL ACUTE CARE
9653024,GENERAL ACUTE CARE
13974136,PSYCHIATRIC
574017,GENERAL ACUTE CARE
3073644,GENERAL ACUTE CARE
9974467,GENERAL ACUTE CARE
6454143,GENERAL ACUTE CARE
131274447,GENERAL ACUTE CARE
14353066,GENERAL ACUTE CARE
12353083,GENERAL ACUTE CARE
5774133,GENERAL ACUTE CARE
5973534,GENERAL ACUTE CARE
131174820,GENERAL ACUTE CARE
2673542,GENERAL ACUTE CARE
14737331,GENERAL ACUTE CARE
18262056,CRITICAL ACCESS
15061462,CRITICAL ACCESS
16161270,CRITICAL ACCESS
16562681,CRITICAL ACCESS
15462812,CRITICAL ACCESS
15562960,CRITICAL ACCESS
15261944,CRITICAL ACCESS
699669,GENERAL ACUTE CARE
180830033,MILITARY
14030606,GENERAL ACUTE CARE
1125801,GENERAL ACUTE CARE
7642303,GENERAL ACUTE CARE
1299701,GENERAL ACUTE CARE
2499645,GENERAL ACUTE CARE
2699686,GENERAL ACUTE CARE
2299752,CRITICAL ACCESS
1799835,CRITICAL ACCESS
3438562,GENERAL ACUTE CARE
8038401,GENERAL ACUTE CARE
8338305,GENERAL ACUTE CARE
5159405,GENERAL ACUTE CARE
4382931,PSYCHIATRIC
6538242,GENERAL ACUTE CARE
10840330,CRITICAL ACCESS
137830,GENERAL ACUTE CARE
437367,GENERAL ACUTE CARE
14837371,GENERAL ACUTE CARE
2237207,GENERAL ACUTE CARE
7737402,LONG TERM CARE
2737403,GENERAL ACUTE CARE
6037172,GENERAL ACUTE CARE
637762,GENERAL ACUTE CARE
10237604,GENERAL ACUTE CARE
15937067,GENERAL ACUTE CARE
182271306,LONG TERM CARE
15137321,GENERAL ACUTE CARE
6137130,GENERAL ACUTE CARE
4037917,GENERAL ACUTE CARE
11337620,GENERAL ACUTE CARE
15237869,CRITICAL ACCESS
11537660,GENERAL ACUTE CARE
566839,GENERAL ACUTE CARE
21210305,GENERAL ACUTE CARE
190270121,REHABILITATION
4667005,GENERAL ACUTE CARE
9366757,GENERAL ACUTE CARE
1567530,GENERAL ACUTE CARE
9666521,GENERAL ACUTE CARE
184270605,GENERAL ACUTE CARE
1177515,GENERAL ACUTE CARE
2378705,GENERAL ACUTE CARE
4176015,GENERAL ACUTE CARE
4276020,GENERAL ACUTE CARE
4677521,GENERAL ACUTE CARE
6177401,GENERAL ACUTE CARE
6277514,GENERAL ACUTE CARE
6778758,GENERAL ACUTE CARE
1762801,GENERAL ACUTE CARE
81532026,SPECIAL
81632806,GENERAL ACUTE CARE
82032514,REHABILITATION
82633607,GENERAL ACUTE CARE
17176448,GENERAL ACUTE CARE
19079938,GENERAL ACUTE CARE
19475840,GENERAL ACUTE CARE
19778114,GENERAL ACUTE CARE
21276104,GENERAL ACUTE CARE
21475034,GENERAL ACUTE CARE
21876240,GENERAL ACUTE CARE
22078624,GENERAL ACUTE CARE
23075401,GENERAL ACUTE CARE
23178629,GENERAL ACUTE CARE
23376450,GENERAL ACUTE CARE
23777964,GENERAL ACUTE CARE
25278861,GENERAL ACUTE CARE
26377030,GENERAL ACUTE CARE
29877091,GENERAL ACUTE CARE
31375951,GENERAL ACUTE CARE
31576849,GENERAL ACUTE CARE
31677494,GENERAL ACUTE CARE
32478028,GENERAL ACUTE CARE
32978640,GENERAL ACUTE CARE
34179336,GENERAL ACUTE CARE
34578643,GENERAL ACUTE CARE
34875601,GENERAL ACUTE CARE
37875070,GENERAL ACUTE CARE
38978572,GENERAL ACUTE CARE
39275455,GENERAL ACUTE CARE
39377058,GENERAL ACUTE CARE
40375965,GENERAL ACUTE CARE
96962002,GENERAL ACUTE CARE
40679761,GENERAL ACUTE CARE
41175801,GENERAL ACUTE CARE
41275460,GENERAL ACUTE CARE
34375563,GENERAL ACUTE CARE
41479065,GENERAL ACUTE CARE
41577504,GENERAL ACUTE CARE
41777504,GENERAL ACUTE CARE
41877505,GENERAL ACUTE CARE
41979072,GENERAL ACUTE CARE
42179772,GENERAL ACUTE CARE
42375093,GENERAL ACUTE CARE
42878061,GENERAL ACUTE CARE
44175080,GENERAL ACUTE CARE
44377469,GENERAL ACUTE CARE
44878665,GENERAL ACUTE CARE
45275088,GENERAL ACUTE CARE
100460548,CRITICAL ACCESS
46478224,GENERAL ACUTE CARE
47778240,GENERAL ACUTE CARE
47878258,GENERAL ACUTE CARE
47978201,GENERAL ACUTE CARE
102442431,GENERAL ACUTE CARE
103020850,GENERAL ACUTE CARE
48975092,GENERAL ACUTE CARE
49677479,GENERAL ACUTE CARE
51977380,GENERAL ACUTE CARE
52377375,GENERAL ACUTE CARE
53275862,GENERAL ACUTE CARE
54378801,GENERAL ACUTE CARE
55276702,GENERAL ACUTE CARE
55977598,GENERAL ACUTE CARE
56979096,GENERAL ACUTE CARE
57479567,GENERAL ACUTE CARE
59175204,GENERAL ACUTE CARE
134475071,GENERAL ACUTE CARE
136077094,GENERAL ACUTE CARE
111287505,GENERAL ACUTE CARE
137877030,GENERAL ACUTE CARE
138177070,GENERAL ACUTE CARE
59375381,GENERAL ACUTE CARE
139575160,GENERAL ACUTE CARE
139778613,GENERAL ACUTE CARE
139878738,GENERAL ACUTE CARE
51,GENERAL ACUTE CARE
142076244,GENERAL ACUTE CARE
44,GENERAL ACUTE CARE
50,GENERAL ACUTE CARE
53,GENERAL ACUTE CARE
54,GENERAL ACUTE CARE
71678224,GENERAL ACUTE CARE
72477584,GENERAL ACUTE CARE
72778654,GENERAL ACUTE CARE
73275080,GENERAL ACUTE CARE
117510021,SPECIAL
7879720,GENERAL ACUTE CARE
73575075,GENERAL ACUTE CARE
73778154,GENERAL ACUTE CARE
73878130,GENERAL ACUTE CARE
74275231,GENERAL ACUTE CARE
123344484,REHABILITATION
125744501,LONG TERM CARE
125045863,PSYCHIATRIC
75475165,GENERAL ACUTE CARE
75577479,GENERAL ACUTE CARE
76177598,GENERAL ACUTE CARE
13079731,GENERAL ACUTE CARE
76577070,GENERAL ACUTE CARE
76677004,GENERAL ACUTE CARE
132897741,GENERAL ACUTE CARE
78676458,GENERAL ACUTE CARE
79578410,GENERAL ACUTE CARE
80076932,GENERAL ACUTE CARE
80876177,GENERAL ACUTE CARE
148224211,GENERAL ACUTE CARE
155683702,REHABILITATION
156083340,SPECIAL
157046032,GENERAL ACUTE CARE
157146254,GENERAL ACUTE CARE
22576048,GENERAL ACUTE CARE
23576642,CRITICAL ACCESS
16,MILITARY
34479339,GENERAL ACUTE CARE
58,GENERAL ACUTE CARE
69,GENERAL ACUTE CARE
44775032,GENERAL ACUTE CARE
7864128,MILITARY
1173507,CRITICAL ACCESS
9268105,MILITARY
12078465,LONG TERM CARE
28277065,LONG TERM CARE
28677004,LONG TERM CARE
30177338,LONG TERM CARE
36678648,LONG TERM CARE
41375460,LONG TERM CARE
46878229,LONG TERM CARE
49477479,LONG TERM CARE
50077477,LONG TERM CARE
55077904,LONG TERM CARE
139976502,LONG TERM CARE
14279720,MILITARY
38679706,LONG TERM CARE
7453223,GENERAL ACUTE CARE
15878550,MILITARY
45978205,GENERAL ACUTE CARE
896731,LONG TERM CARE
32677339,PSYCHIATRIC
35779408,PSYCHIATRIC
134078745,PSYCHIATRIC
135575115,PSYCHIATRIC
139479706,PSYCHIATRIC
72878550,PSYCHIATRIC
78078539,PSYCHIATRIC
79979106,PSYCHIATRIC
80275701,PSYCHIATRIC
82378626,PSYCHIATRIC
2196743,GENERAL ACUTE CARE
8877802,REHABILITATION
15175230,REHABILITATION
20776102,REHABILITATION
20876132,REHABILITATION
30077338,REHABILITATION
53675701,REHABILITATION
55677598,REHABILITATION
56576302,REHABILITATION
135275022,REHABILITATION
136475247,REHABILITATION
142777904,REHABILITATION
75379902,REHABILITATION
75875020,REHABILITATION
77978640,REHABILITATION
82178041,REHABILITATION
979124,SPECIAL
3278731,SPECIAL
4376017,SPECIAL
4476015,SPECIAL
25977030,SPECIAL
35879416,SPECIAL
47478258,SPECIAL
59075226,SPECIAL
143178249,SPECIAL
41,SPECIAL
49,SPECIAL
76077521,SPECIAL
79879106,SPECIAL
10735007,GENERAL ACUTE CARE
11036301,GENERAL ACUTE CARE
5136027,GENERAL ACUTE CARE
5536451,GENERAL ACUTE CARE
136502,GENERAL ACUTE CARE
4735570,GENERAL ACUTE CARE
3935601,GENERAL ACUTE CARE
4935903,GENERAL ACUTE CARE
2696826,CHILDREN
12751632,PSYCHIATRIC
11051502,GENERAL ACUTE CARE
5183221,GENERAL ACUTE CARE
5283404,GENERAL ACUTE CARE
3183201,GENERAL ACUTE CARE
98261231,CRITICAL ACCESS
5860406,GENERAL ACUTE CARE
99860622,GENERAL ACUTE CARE
2260617,GENERAL ACUTE CARE
1560016,PSYCHIATRIC
1160016,LONG TERM CARE
16760033,CRITICAL ACCESS
16692252,GENERAL ACUTE CARE
11692071,PSYCHIATRIC
2293423,PSYCHIATRIC
15895448,GENERAL ACUTE CARE
33993551,GENERAL ACUTE CARE
38991773,GENERAL ACUTE CARE
39191776,GENERAL ACUTE CARE
28592585,GENERAL ACUTE CARE
38092503,GENERAL ACUTE CARE
49395661,PSYCHIATRIC
13993720,GENERAL ACUTE CARE
39693720,GENERAL ACUTE CARE
17595542,GENERAL ACUTE CARE
27393546,GENERAL ACUTE CARE
5992669,GENERAL ACUTE CARE
13392708,GENERAL ACUTE CARE
46995355,GENERAL ACUTE CARE
35493258,GENERAL ACUTE CARE
12330078,GENERAL ACUTE CARE
1330439,CRITICAL ACCESS
21230308,LONG TERM CARE
1631024,CRITICAL ACCESS
11831768,GENERAL ACUTE CARE
10030417,GENERAL ACUTE CARE
20070001,GENERAL ACUTE CARE
6331737,CRITICAL ACCESS
2330012,GENERAL ACUTE CARE
6431830,GENERAL ACUTE CARE
8630434,GENERAL ACUTE CARE
9731539,GENERAL ACUTE CARE
2830512,GENERAL ACUTE CARE
4930442,CRITICAL ACCESS
156546202,GENERAL ACUTE CARE
20170112,GENERAL ACUTE CARE
19070737,PSYCHIATRIC
6970538,GENERAL ACUTE CARE
14770360,GENERAL ACUTE CARE
1470548,GENERAL ACUTE CARE
18870071,GENERAL ACUTE CARE
8671220,PSYCHIATRIC
20670748,GENERAL ACUTE CARE
6271254,GENERAL ACUTE CARE
15171111,LONG TERM CARE
22271465,GENERAL ACUTE CARE
3371351,GENERAL ACUTE CARE
11770433,LONG TERM CARE
7770422,GENERAL ACUTE CARE
13170816,GENERAL ACUTE CARE
9170605,WOMEN
14553188,PSYCHIATRIC
4595926,PSYCHIATRIC
7892363,GENERAL ACUTE CARE
1392120,GENERAL ACUTE CARE
1591942,PSYCHIATRIC
23292104,GENERAL ACUTE CARE
34392050,GENERAL ACUTE CARE
25094116,GENERAL ACUTE CARE
5971052,GENERAL ACUTE CARE
6570535,LONG TERM CARE
25294143,PSYCHIATRIC
50694122,GENERAL ACUTE CARE
50794115,GENERAL ACUTE CARE
7490650,GENERAL ACUTE CARE
8290255,GENERAL ACUTE CARE
26691342,GENERAL ACUTE CARE
30190036,GENERAL ACUTE CARE
33090036,GENERAL ACUTE CARE
33390012,GENERAL ACUTE CARE
52691307,GENERAL ACUTE CARE
15695023,GENERAL ACUTE CARE
9192882,GENERAL ACUTE CARE
34696001,GENERAL ACUTE CARE
22694914,GENERAL ACUTE CARE
47196104,GENERAL ACUTE CARE
14093710,GENERAL ACUTE CARE
50296093,GENERAL ACUTE CARE
1792804,GENERAL ACUTE CARE
14192643,GENERAL ACUTE CARE
52592804,GENERAL ACUTE CARE
32695361,GENERAL ACUTE CARE
22293277,GENERAL ACUTE CARE
18530327,GENERAL ACUTE CARE
16930135,PSYCHIATRIC
11527962,GENERAL ACUTE CARE
6071446,GENERAL ACUTE CARE
17470444,LONG TERM CARE
3170633,GENERAL ACUTE CARE
70192120,GENERAL ACUTE CARE
70494117,GENERAL ACUTE CARE
70594110,GENERAL ACUTE CARE
70790067,GENERAL ACUTE CARE
71495355,GENERAL ACUTE CARE
73191401,GENERAL ACUTE CARE
73693210,PSYCHIATRIC
74096028,GENERAL ACUTE CARE
74290404,GENERAL ACUTE CARE
74396001,PSYCHIATRIC
74495062,PSYCHIATRIC
74693060,GENERAL ACUTE CARE
83931909,GENERAL ACUTE CARE
84231217,GENERAL ACUTE CARE
84430546,CRITICAL ACCESS
84031412,GENERAL ACUTE CARE
87330705,GENERAL ACUTE CARE
86230117,GENERAL ACUTE CARE
87630214,GENERAL ACUTE CARE
88031830,REHABILITATION
89930274,GENERAL ACUTE CARE
89030329,GENERAL ACUTE CARE
151054961,CRITICAL ACCESS
