ID,NAICS_CODE,NAICS_DESC
19594590,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
53195695,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1294609,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
39794578,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
46694545,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
45995204,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
46095204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13291741,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14791204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19090027,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19391402,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
36691356,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
42990020,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
50190716,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
45295422,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6193638,622110,CHILDREN'S HOSPITALS GENERAL
11792270,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15295124,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
20495051,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
27094304,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19494063,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
18094520,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
47794509,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19995825,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
43195945,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
24690623,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
38492673,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13795991,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10230143,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15530606,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14130080,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
1553715,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8253213,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
9753097,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4354923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
63072758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10454024,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11854017,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12453081,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13154665,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
72390241,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
72790503,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
58592354,622110,CHILDREN'S HOSPITALS GENERAL
15254904,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
75420007,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
31233525,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7233484,622110,CHILDREN'S HOSPITALS GENERAL
36034758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
36232068,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
36334471,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
36634997,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12142728,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13050144,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4466032,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7567860,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7767467,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
372903,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7472901,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
9700000,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10172143,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10272834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2271923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
872616,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1072632,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2871653,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
671671,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8872455,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2571742,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4100000,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6171701,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
572601,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1672560,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2372454,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1372543,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2472110,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3072205,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5000000,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6972113,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
1971901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4671901,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
5971913,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6600000,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3971603,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6871603,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2772703,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
331404,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9372703,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
9672762,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9454915,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3271953,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4972927,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5172855,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
62572396,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
64072205,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
8053211,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
14385622,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
62472160,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1042539,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5240336,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3641653,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7140207,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9440215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10640207,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
240031,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4648624,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7349868,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1549862,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5848843,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1649242,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10048071,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3049098,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5648858,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7949431,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14049079,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13248427,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14948202,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4256007,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14155009,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5056031,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10856087,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8665201,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5158554,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
2458533,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1446011,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9446601,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
389128,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
489119,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12119124,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13619107,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
20819104,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
21419130,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
25019104,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6017822,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
182330115,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
185631620,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5759501,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6929425,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
189830346,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
522835,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14244266,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6878746,622110,CHILDREN'S HOSPITALS GENERAL
19676104,622110,CHILDREN'S HOSPITALS GENERAL
898356,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
194246032,622310,ORTHOPEDIC HOSPITALS
13753045,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6753132,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8153210,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6354476,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7853215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9254501,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
17545409,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10354481,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15454495,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5754401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13253121,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13653027,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5153142,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6154241,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
188346176,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
35579408,622110,CHILDREN'S HOSPITALS GENERAL
183446992,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
187746307,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
194147586,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14044481,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2944482,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3397031,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9360901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
497845,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2912601,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3214215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5514607,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6411030,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9344221,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
6511554,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7011510,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8313210,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8712550,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9310924,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9912180,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10713676,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15298250,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10110960,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10912866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1060035,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9960048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12860010,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1961401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3361401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4960099,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1021205,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2321202,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3721215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4121201,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11614843,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4821224,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11811968,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11911901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12211743,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12311706,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9140504,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9540502,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12810901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13112401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13212428,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13614513,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14110522,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14510591,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11442754,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7341101,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14810595,622110,CHILDREN'S HOSPITALS GENERAL
2962650,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3421740,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2640444,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15110532,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15310466,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2440601,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15610467,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3521742,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16111212,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16211201,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16310461,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16411203,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16611235,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16911209,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15210036,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
17011215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
17910003,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
18610032,622110,CHILDREN'S HOSPITALS GENERAL
18810019,622210,HOSPITALS PSYCHIATRIC (EXCEPT CONVALESCENT)
19611373,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19711414,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14860942,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4761832,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10942101,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
20311355,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
185067037,622310,EXTENDED CARE HOSPITALS (EXCEPT MENTAL SUBSTANCE ABUSE)
114511542,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2040484,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4942078,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
115310802,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
115411234,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
115710605,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
116710037,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
116810035,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
116910457,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
117114810,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
117412010,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
117712180,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
5060450,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10961104,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11361103,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
118212901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
118510466,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1920910,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10560451,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13360440,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2520744,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
118710025,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
118810032,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
118910021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
119511201,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
119614420,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
120114222,622310,CHILDREN'S HOSPITALS SPECIALTY (EXCEPT PSYCHIATRIC SUBSTANCE ABUSE)
120511501,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
120614701,622210,HOSPITALS SUBSTANCE ABUSE
121310703,622210,HOSPITALS SUBSTANCE ABUSE
10314424,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
25710536,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
25812866,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
5842420,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13062864,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1360504,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10460134,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8460506,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
440383,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10610468,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8476825,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
17677957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
19176936,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10542718,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
39179346,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4521502,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4621401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1261856,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3561603,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14762363,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16674447,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
962301,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
14573102,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
10261603,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1760611,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
1860130,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
2560076,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3260304,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3460525,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
460160,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
57375494,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
57677995,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4160644,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4360637,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
137479007,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5560613,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
6260612,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7660616,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8760805,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9060657,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
9760609,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10160453,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
10760068,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11860005,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11960007,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12360611,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12760169,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13160615,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8742642,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4125801,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
8640456,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5821921,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
140207,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4040202,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4440204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7540205,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11740202,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
7941240,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
825438,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3625901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3226147,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1825701,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4024740,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3725550,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1425130,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5824924,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
3926537,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5026452,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
